"млн лет назад","T anomaly"
0.4413,-4.14
0.4421,-3.94
0.4431,-3.67
0.444,-3.88
0.4451,-3.94
0.4459,-3.79
0.4471,-3.52
0.4485,-3.86
0.4498,-3.83
0.4509,-3.52
0.4521,-3.25
0.453,-3.05
0.4536,-2.94
0.4544,-2.95
0.4554,-2.81
0.4566,-2.84
0.4577,-3.21
0.4589,-3.18
0.46,-3.04
0.4613,-3.14
0.4621,-3.32
0.463,-3.26
0.4638,-2.92
0.4649,-2.93
0.4657,-3.01
0.4666,-2.73
0.4675,-2.84
0.4687,-3.11
0.4695,-3.43
0.4703,-3.36
0.4711,-3.23
0.4721,-2.95
0.4729,-2.47
0.4738,-1.65
0.4746,-1.64
0.4758,-1.79
0.4769,-1.61
0.4779,-1.94
0.4787,-2.28
0.4797,-2.35
0.4805,-2.3
0.4812,-2.37
0.4818,-1.91
0.4826,-1.75
0.4834,-1.44
0.484,-1.4
0.4844,-1.5
0.4852,-1.59
0.486,-1.26
0.4866,-1.21
0.4876,-0.97
0.4889,-0.88
0.4899,-0.77
0.4907,-0.97
0.4917,-1.11
0.4927,-1.16
0.4936,-0.98
0.4946,-1.02
0.4957,-1.38
0.4967,-1.23
0.4977,-1.38
0.4987,-1.52
0.4997,-1.58
0.5008,-1.39
0.502,-1.51
0.503,-1.7
0.504,-2.1
0.5048,-2.04
0.5058,-2.04
0.5066,-2.07
0.5078,-2.12
0.5088,-1.77
0.51,-1.99
0.511,-2.14
0.5126,-2.1
0.5136,-2.1
0.5148,-2.42
0.5158,-2.51
0.5172,-2.5
0.5182,-2.41
0.5196,-2.3
0.521,-2.02
0.5226,-1.74
0.5238,-1.57
0.5252,-1.74
0.5265,-2.06
0.5277,-1.94
0.5289,-2.07
0.5301,-2.27
0.5315,-2.36
0.5328,-1.91
0.534,-2.16
0.5358,-2.47
0.5374,-2.51
0.5386,-2.6
0.5398,-2.89
0.5414,-2.97
0.5424,-3.12
0.5434,-3.06
0.5448,-3.09
0.5462,-3.33
0.5474,-3.26
0.5488,-3.02
0.5506,-3.39
0.5518,-3.2
0.553,-2.95
0.5542,-2.93
0.5554,-3.04
0.5562,-2.55
0.5574,-2.61
0.5588,-2.36
0.5604,-2.24
0.5618,-2.15
0.5636,-1.92
0.5651,-1.66
0.5663,-1.72
0.5677,-1.52
0.5689,-1.29
0.5697,-1.28
0.5705,-1.3
0.5716,-1.26
0.5723,-1.23
0.5731,-1.04
0.5741,-0.99
0.5751,-0.62
0.576,-0.31
0.577,-0.53
0.578,-0.65
0.5788,-0.7
0.5795,-1.06
0.5803,-1.26
0.5811,-1.3
0.5819,-1.34
0.5828,-1.4
0.5837,-1.86
0.5847,-2.04
0.5857,-2
0.5866,-1.85
0.5876,-1.95
0.5889,-1.47
0.5899,-1.29
0.5907,-1.28
0.5917,-1.27
0.5928,-1.05
0.5937,-1.05
0.5945,-1.13
0.5953,-0.99
0.5959,-1.17
0.596,-1.24
0.596,-1.36
0.5961,-1.2
0.5969,-1.22
0.5979,-0.82
0.5989,-1.32
0.5999,-1.29
0.6014,-1.56
0.6024,-1.36
0.6034,-1.95
0.6048,-1.67
0.6064,-1.56
0.6076,-1.41
0.609,-1.3
0.6102,-1.37
0.611,-1.21
0.612,-1.19
0.6131,-1.02
0.6139,-1.07
0.6148,-0.65
0.6158,-0.15
0.6168,0.06
0.6176,-0.25
0.6184,-0.44
0.619,-0.49
0.6199,-1.22
0.6207,-1.63
0.6214,-1.88
0.6222,-2.3
0.6232,-2.48
0.6244,-2.92
0.6254,-3.54
0.6264,-3.5
0.6272,-3.73
0.6282,-4.16
0.629,-3.84
0.6298,-3.87
0.6306,-4.29
0.632,-4.28
0.6332,-4.4
0.6342,-4.82
0.6354,-4.53
0.637,-4.28
0.638,-4.31
0.639,-4.19
0.6402,-3.82
0.6414,-3.94
0.6423,-3.93
0.6435,-3.54
0.6449,-3.4
0.6461,-3.65
0.6471,-3.35
0.6486,-3.39
0.65,-3.46
0.6516,-3.5
0.6534,-3.19
0.655,-3.39
0.6566,-3.29
0.658,-3.26
0.6588,-3.22
0.6599,-3.42
0.6613,-3.14
0.6621,-3.12
0.6634,-3.28
0.6649,-3.23
0.666,-2.9
0.6668,-3.09
0.6682,-2.94
0.6691,-2.59
0.67,-2.54
0.671,-2.48
0.6722,-2.75
0.673,-2.65
0.674,-2.6
0.6748,-2.55
0.6755,-2.98
0.6764,-2.31
0.6774,-2.55
0.6783,-2.75
0.6793,-2.43
0.6805,-2.2
0.6815,-2.07
0.6823,-1.77
0.6833,-1.29
0.6843,-1.53
0.685,-1.07
0.6859,-1.19
0.6869,-0.86
0.6879,-0.94
0.6891,-0.64
0.6902,-0.76
0.6914,-0.56
0.6924,-0.52
0.6936,-0.54
0.6944,-0.61
0.6956,-0.56
0.6968,-0.85
0.6982,-1.02
0.6992,-1.01
0.7008,-1.07
0.702,-1.42
0.703,-1.19
0.7044,-1.36
0.7058,-1.84
0.7074,-2.13
0.7092,-2.24
0.7108,-2.62
0.7122,-3.15
0.7136,-2.89
0.7144,-2.9
0.7151,-2.99
0.7165,-3.21
0.7175,-2.94
0.7191,-3.21
0.7206,-3.26
0.7221,-3.13
0.7231,-2.69
0.7245,-2.72
0.7255,-2.65
0.7268,-2.36
0.7281,-2.21
0.7295,-2.44
0.7309,-2.07
0.7321,-1.94
0.7333,-1.91
0.7344,-2.02
0.7358,-1.9
0.737,-2.15
0.7384,-2.17
0.7398,-2.38
0.7414,-2.33
0.7425,-2.37
0.7435,-2.42
0.7449,-2.64
0.7459,-2.57
0.7474,-2.81
0.7488,-2.87
0.7508,-3.01
0.7522,-3.16
0.7536,-3.31
0.7546,-3.15
0.7556,-3.21
0.7562,-3.34
0.7569,-3.23
0.7579,-3.29
0.7587,-3.29
0.7595,-3.07
0.7602,-2.85
0.7612,-2.56
0.762,-2.38
0.763,-2.41
0.764,-2.51
0.7651,-2.41
0.7661,-2.49
0.7669,-2.42
0.7676,-2.31
0.7688,-2.18
0.7702,-2.04
0.7716,-1.98
0.7732,-1.78
0.775,-1.45
0.7766,-1.35
0.7778,-1.13
0.7796,-0.69
0.7812,-0.63
0.7826,-0.73
0.7842,-1.06
0.7858,-1.39
0.7866,-1.71
0.7878,-1.9
0.789,-2.47
0.7898,-2.4
0.7908,-2.71
0.7924,-3.07
0.7936,-3.35
0.7947,-3.21
0.7959,-3.3
0.7971,-3.22
0.7979,-3.14
0.7987,-3.12
0.8001,-2.94
0.8014,-2.94
0.8025,-2.74
0.8037,-2.82
0.8051,-2.89
0.806,-2.89
0.8068,-2.56
0.808,-2.26
0.8092,-1.9
0.8102,-1.65
0.8118,-1.55
0.8134,-1.74
0.8148,-1.79
