"ky before 2015","T anomaly"
15.965,-6.25
15.965,-5.22
16.015,-5.22
16.015,-5.39
16.065,-5.39
16.065,-4.67
16.115,-4.67
16.115,-5.09
16.165,-5.09
16.165,-4.79
16.215,-4.79
16.215,-4.84
16.265,-4.84
16.265,-4.19
16.315,-4.19
16.315,-4.34
16.365,-4.34
16.365,-4.95
16.415,-4.95
16.415,-4.6
16.465,-4.6
16.465,-4.46
16.515,-4.46
16.515,-3.92
16.565,-3.92
16.565,-3.82
16.615,-3.82
16.615,-5.01
16.665,-5.01
16.665,-4.54
16.715,-4.54
16.715,-3.9
16.765,-3.9
16.765,-3.9
16.815,-3.9
16.815,-3.93
16.865,-3.93
16.865,-4.33
16.915,-4.33
16.915,-4.16
16.965,-4.16
16.965,-4.35
17.015,-4.35
17.015,-5.1
17.065,-5.1
17.065,-4.44
17.115,-4.44
17.115,-3.79
17.165,-3.79
17.165,-3.72
17.215,-3.72
17.215,-4.66
17.265,-4.66
17.265,-4.08
17.315,-4.08
17.315,-4.45
17.365,-4.45
17.365,-4.99
17.415,-4.99
17.415,-5.2
17.465,-5.2
17.465,-5.53
17.515,-5.53
17.515,-4.93
17.565,-4.93
17.565,-5.48
17.615,-5.48
17.615,-4.96
17.665,-4.96
17.665,-4.6
17.715,-4.6
17.715,-5.13
17.765,-5.13
17.765,-5.43
17.815,-5.43
17.815,-5.55
17.865,-5.55
17.865,-5.34
17.915,-5.34
17.915,-5.27
17.965,-5.27
17.965,-4.85
18.015,-4.85
18.015,-4.13
18.065,-4.13
18.065,-4.83
18.115,-4.83
18.115,-4.28
18.165,-4.28
18.165,-4.67
18.215,-4.67
18.215,-5.15
18.265,-5.15
18.265,-4.54
18.315,-4.54
18.315,-4.37
18.365,-4.37
18.365,-5
18.415,-5
18.415,-4.57
18.465,-4.57
18.465,-5.22
18.515,-5.22
18.515,-4.87
18.565,-4.87
18.565,-5.34
18.615,-5.34
18.615,-5.44
18.665,-5.44
18.665,-5.31
18.715,-5.31
18.715,-4.61
18.765,-4.61
18.765,-5.22
18.815,-5.22
18.815,-5.69
18.865,-5.69
18.865,-4.53
18.915,-4.53
18.915,-5.06
18.965,-5.06
18.965,-4.72
19.015,-4.72
19.015,-4.43
19.065,-4.43
19.065,-4.37
19.115,-4.37
19.115,-4.6
19.165,-4.6
19.165,-5.69
19.215,-5.69
19.215,-4.25
19.265,-4.25
19.265,-4.32
19.315,-4.32
19.315,-5.53
19.365,-5.53
19.365,-4.91
19.415,-4.91
19.415,-5.51
19.465,-5.51
19.465,-5.22
19.515,-5.22
19.515,-5.25
19.565,-5.25
19.565,-4.88
19.615,-4.88
19.615,-5.3
19.665,-5.3
19.665,-5.09
19.715,-5.09
19.715,-5.75
19.765,-5.75
19.765,-5.98
19.815,-5.98
19.815,-6.08
19.865,-6.08
19.865,-5.37
19.915,-5.37
19.915,-5.65
19.965,-5.65
19.965,-6.48
20.015,-6.48
20.015,-5.1
20.065,-5.1
20.065,-4.34
20.115,-4.34
20.115,-4.93
20.165,-4.93
20.165,-5.29
20.215,-5.29
20.215,-5.16
20.265,-5.16
20.265,-5.6
20.315,-5.6
20.315,-5.45
20.365,-5.45
20.365,-5.64
20.415,-5.64
20.415,-6.78
20.465,-6.78
20.465,-5.54
20.515,-5.54
20.515,-5.94
20.565,-5.94
20.565,-5.13
20.615,-5.13
20.615,-5.8
20.665,-5.8
20.665,-6.04
20.715,-6.04
20.715,-5.19
20.765,-5.19
20.765,-5.39
20.815,-5.39
20.815,-5.66
20.865,-5.66
20.865,-5.13
20.915,-5.13
20.915,-5.87
20.965,-5.87
20.965,-5.19
21.015,-5.19
21.015,-4.87
21.065,-4.87
21.065,-5.57
21.115,-5.57
21.115,-5.79
21.165,-5.79
21.165,-6.39
21.215,-6.39
21.215,-5.76
21.265,-5.76
21.265,-6.04
21.315,-6.04
21.315,-5.35
21.365,-5.35
21.365,-4.97
21.415,-4.97
21.415,-5.7
21.465,-5.7
21.465,-4.99
21.515,-4.99
21.515,-5.1
21.565,-5.1
21.565,-4.78
21.615,-4.78
21.615,-4.75
21.665,-4.75
21.665,-5.19
21.715,-5.19
21.715,-5.34
21.765,-5.34
21.765,-5.75
21.815,-5.75
21.815,-5.38
21.865,-5.38
21.865,-5.31
21.915,-5.31
21.915,-5.84
21.965,-5.84
21.965,-5.26
22.015,-5.26
22.015,-5.37
22.065,-5.37
22.065,-6.19
22.115,-6.19
22.115,-4.5
22.165,-4.5
22.165,-4.49
22.215,-4.49
22.215,-5.45
22.265,-5.45
22.265,-4.99
22.315,-4.99
22.315,-4.47
22.365,-4.47
22.365,-5.28
22.415,-5.28
22.415,-5.16
22.465,-5.16
22.465,-5.65
22.515,-5.65
22.515,-5.43
22.565,-5.43
22.565,-4.9
22.615,-4.9
22.615,-4.39
22.665,-4.39
22.665,-3.41
22.715,-3.41
22.715,-5.02
22.765,-5.02
22.765,-6.17
22.815,-6.17
22.815,-5.08
22.865,-5.08
22.865,-6.34
22.915,-6.34
22.915,-6.28
22.965,-6.28
22.965,-6.4
23.015,-6.4
23.015,-6.33
23.065,-6.33
23.065,-6.63
23.115,-6.63
23.115,-5.92
23.165,-5.92
23.165,-6.37
23.215,-6.37
23.215,-6.72
23.265,-6.72
23.265,-6.22
23.315,-6.22
23.315,-6.25
23.365,-6.25
23.365,-5.57
23.415,-5.57
23.415,-5.93
23.465,-5.93
23.465,-6.38
23.515,-6.38
23.515,-6.24
23.565,-6.24
23.565,-6.44
23.615,-6.44
23.615,-6.81
23.665,-6.81
23.665,-6.43
23.715,-6.43
23.715,-5.54
23.765,-5.54
23.765,-6.23
23.815,-6.23
23.815,-6.13
23.865,-6.13
23.865,-6.2
23.915,-6.2
23.915,-5.98
23.965,-5.98
23.965,-5.6
24.015,-5.6
24.015,-6.28
