"н.э.","T anomaly"
392,-0.3115
393,-0.3053
394,-0.2912
395,-0.2984
396,-0.2633
397,-0.2515
398,-0.2008
399,-0.2279
400,-0.2451
401,-0.1791
402,-0.1978
403,-0.1438
404,-0.1719
405,-0.1057
406,-0.0138
407,-0.0675
408,-0.0519
409,-0.1059
410,-0.1469
411,-0.1249
412,-0.168
413,-0.1195
414,-0.1999
415,-0.1209
416,-0.1809
417,-0.1479
418,-0.1849
419,-0.1505
420,-0.1473
421,-0.1753
422,-0.1982
423,-0.1929
424,-0.0958
425,-0.1105
426,-0.2733
427,-0.1836
428,-0.2478
429,-0.1307
430,-0.0936
431,-0.1609
432,-0.1387
433,-0.1288
434,-0.0849
435,-0.0963
436,-0.181
437,-0.1168
438,-0.1472
439,-0.2229
440,-0.1879
441,-0.1469
442,-0.1089
443,-0.0626
444,-0.0314
445,-0.1507
446,-0.1247
447,-0.1686
448,-0.1711
449,-0.2887
450,-0.1552
451,-0.2029
452,-0.1671
453,-0.1321
454,-0.1378
455,-0.1236
456,-0.1434
457,-0.0779
458,-0.1037
459,-0.1487
460,-0.1929
461,-0.1431
462,-0.2145
463,-0.2359
464,-0.2518
465,-0.2026
466,-0.1485
467,-0.2288
468,-0.2142
469,-0.2646
470,-0.3221
471,-0.2833
472,-0.2568
473,-0.2746
474,-0.3172
475,-0.272
476,-0.2579
477,-0.2494
478,-0.1549
479,-0.1717
480,-0.0919
481,-0.1571
482,-0.1773
483,-0.1493
484,-0.1433
485,-0.0876
486,-0.1715
487,-0.1578
488,-0.1908
489,-0.1202
490,-0.1511
491,-0.1337
492,-0.1777
493,-0.1096
494,-0.091
495,-0.1439
496,-0.115
497,-0.1535
498,-0.1223
499,-0.167
500,-0.1112
501,-0.1098
502,-0.1327
503,-0.1536
504,-0.2426
505,-0.1619
506,-0.2134
507,-0.1499
508,-0.1928
509,-0.2279
510,-0.2421
511,-0.2885
512,-0.2738
513,-0.1891
514,-0.2183
515,-0.1902
516,-0.1548
517,-0.1389
518,-0.1139
519,-0.1189
520,-0.1869
521,-0.1659
522,-0.1957
523,-0.14
524,-0.1583
525,-0.0974
