"ky before 2015","T anomaly"
13.887,-1.575
13.913,-2.3
13.94,-2.34
13.968,-2.115
13.995,-1.745
14.021,-1.41
14.044,-1.32
14.067,-1.62
14.093,-1.99
14.118,-2.025
14.145,-2.24
14.171,-1.635
14.196,-1.355
14.221,-1.5
14.245,-1.715
14.27,-2.07
14.295,-0.51
14.317,-0.965
14.338,-1.08
14.36,-1.345
14.383,-1.25
14.406,-1.48
14.429,-1.26
14.455,-2.66
14.482,-1.89
14.507,-1.355
14.532,-2.085
14.558,-2.085
14.585,-1.775
14.612,-2.295
14.639,-2.1
14.666,-2.71
14.696,-2.47
14.725,-2.11
14.753,-2.515
14.781,-2.22
14.809,-1.81
14.835,-2.02
14.861,-2.145
14.888,-1.81
14.915,-2.01
14.941,-2.125
14.969,-2.76
14.998,-1.15
15.024,-2.27
15.049,-2.55
15.079,-2.545
15.107,-2.025
15.135,-2.085
15.162,-2.25
15.19,-2.18
15.218,-2.38
15.247,-2.58
15.276,-2.86
15.307,-2.735
15.338,-2.83
15.369,-2.755
15.4,-2.87
15.431,-2.85
15.462,-2.375
15.492,-2.555
15.522,-2.675
15.552,-3.005
15.583,-2.595
15.614,-3.185
15.646,-2.4
15.677,-2.695
15.707,-2.625
15.737,-2.805
15.768,-2.66
15.799,-2.81
15.83,-2.91
15.862,-3.09
15.895,-2.695
15.927,-3.33
15.959,-2.955
15.992,-2.98
16.025,-3.23
16.059,-3.45
16.094,-3.38
16.128,-2.97
16.161,-3.05
16.194,-3.035
16.227,-3.11
16.261,-3.705
16.296,-3.22
16.331,-3.06
16.364,-3.38
16.399,-3.395
16.434,-3.375
16.469,-3.43
16.505,-4.075
16.543,-3.525
16.581,-3.72
16.618,-3.575
16.654,-3.41
16.691,-4.415
16.73,-3.685
16.77,-4.105
16.809,-4.055
16.849,-4.115
16.89,-4.5
16.932,-3.87
16.972,-3.9
17.012,-4.19
17.051,-3.69
17.09,-4.33
17.131,-3.7
17.17,-4.685
17.213,-4.25
17.255,-4.2
17.298,-4.555
17.34,-4.195
17.383,-4.54
17.426,-4.77
17.472,-4.735
17.518,-4.735
17.564,-4.85
17.61,-4.065
17.651,-4.485
17.695,-4.87
17.741,-4.45
17.785,-4.435
17.829,-4.77
17.875,-4.91
17.922,-4.82
17.968,-4.605
18.014,-4.625
18.058,-4.47
18.102,-4.59
18.147,-4.725
18.193,-4.705
18.239,-4.68
18.284,-4.755
18.331,-4.7
18.377,-5.175
18.426,-4.335
18.47,-4.63
18.514,-4.28
18.558,-4.96
18.605,-4.605
18.651,-4.805
18.697,-4.68
18.743,-4.51
18.788,-4.845
18.834,-4.42
18.88,-5.06
18.927,-4.67
18.973,-4.22
19.018,-5.215
19.066,-4.945
19.114,-4.26
19.158,-4.77
19.204,-4.67
19.25,-3.905
19.291,-4.775
19.337,-4.455
19.382,-4.98
19.43,-4.58
19.476,-4.875
19.523,-4.81
19.571,-5.095
19.62,-4.685
19.668,-5.095
19.717,-4.965
19.765,-4.47
19.811,-4.42
19.855,-4.265
19.899,-4.755
19.946,-5.215
19.996,-4.905
20.044,-4.7
20.091,-4.52
20.137,-4.73
20.183,-4.355
20.228,-4.895
20.275,-4.61
20.322,-4.765
20.369,-4.845
20.417,-4.86
20.466,-5.09
20.515,-4.46
20.561,-4.415
20.606,-4.655
20.652,-4.745
20.7,-4.825
20.748,-4.82
20.796,-4.515
20.841,-4.68
20.888,-4.705
20.935,-4.735
20.983,-4.695
21.03,-5.07
21.08,-4.625
21.127,-4.76
21.174,-4.37
21.22,-4.53
21.266,-5.01
21.315,-5.02
21.365,-4.6
21.411,-4.295
21.455,-3.96
21.5,-5.05
21.547,-4.855
21.596,-4.45
21.643,-4.82
21.691,-5.06
21.741,-4.785
21.789,-4.48
21.835,-4.36
21.88,-4.235
21.924,-4.71
21.972,-4.57
22.018,-4.8
22.067,-4.725
22.115,-4.91
22.164,-4.99
22.215,-4.835
22.264,-4.405
22.309,-5.02
22.36,-4.955
22.41,-4.18
22.454,-4.57
22.501,-4.705
22.548,-4.37
22.594,-4.61
22.642,-4.96
22.691,-4.5
22.739,-4.99
22.788,-4.68
22.837,-4.81
22.886,-4.695
22.934,-4.865
22.983,-4.775
23.032,-4.555
23.079,-4.215
23.124,-4.42
23.169,-4.115
23.214,-4.495
23.26,-4.595
23.307,-4.395
23.354,-5.125
23.405,-4.68
23.453,-4.475
23.5,-4.64
23.548,-4.345
23.594,-4.44
23.64,-4.525
23.687,-4.32
23.733,-4.475
23.78,-4.645
23.828,-4.68
23.877,-5.195
23.929,-4.975
23.981,-4.81
24.03,-4.76
24.08,-5.29
24.134,-4.84
24.184,-4.7
24.233,-4.525
24.281,-4.5
24.328,-4.88
24.379,-4.665
24.428,-5.035
24.48,-5.05
24.532,-3.99
24.576,-4.495
24.623,-4.95
24.674,-5.105
24.727,-5.03
24.779,-4.98
24.831,-4.945
24.883,-4.77
24.933,-4.92
24.984,-4.695
25.034,-4.915
25.085,-4.975
25.137,-4.915
25.188,-4.675
25.238,-4.675
25.288,-5.105
25.341,-5.24
25.395,-5.16
25.449,-4.77
25.5,-4.935
25.552,-4.92
25.603,-4.835
25.654,-4.77
25.705,-4.65
25.755,-5.095
25.808,-5.01
25.86,-4.765
25.912,-5.235
25.965,-4.465
26.015,-4.805
26.065,-5.1
26.118,-4.49
26.168,-4.925
26.219,-4.98
26.272,-4.585
26.322,-5.2
26.376,-4.98
26.429,-4.51
26.478,-4.97
26.53,-4.67
26.581,-4.795
26.632,-4.98
26.685,-5.095
26.739,-5.055
26.792,-4.525
26.842,-4.74
26.893,-4.86
26.945,-5.065
26.998,-4.795
27.05,-4.875
27.102,-4.85
27.155,-4.965
27.207,-4.61
27.257,-4.395
27.305,-4.14
27.352,-4.42
27.398,-3.455
27.442,-4.625
27.49,-4.515
27.54,-4.345
27.588,-5.255
27.643,-4.57
27.693,-3.93
27.738,-3.855
27.782,-4.305
27.83,-4.47
27.879,-4.7
27.929,-4.19
27.977,-4.405
28.026,-4.935
28.079,-5.11
28.133,-4.575
28.184,-4.71
28.235,-4.965
28.289,-4.71
28.34,-4.355
28.389,-4.445
28.438,-4.1
28.484,-3.92
28.53,-4.345
28.577,-4.305
28.625,-4.295
28.673,-4.435
28.723,-4.73
28.774,-4.57
28.824,-4.455
28.874,-4.635
28.924,-4.175
28.973,-4.44
29.021,-4.14
29.069,-4.36
29.117,-4.13
29.164,-4.05
29.21,-4.115
29.257,-3.695
29.301,-4.3
29.348,-3.775
29.393,-3.965
29.44,-4.71
29.49,-4.44
29.539,-4.21
29.588,-4.175
29.635,-4.21
29.683,-4.165
29.73,-3.91
29.776,-4.18
29.823,-4.45
29.873,-4.91
29.927,-4.72
29.98,-4.69
30.032,-4.925
30.085,-4.2
30.136,-5.015
30.189,-4.625
30.242,-4.595
30.292,-4.155
30.342,-4.97
30.395,-4.305
30.445,-4.53
30.496,-4.595
30.548,-4.595
30.599,-4.645
30.651,-4.44
30.702,-4.44
30.752,-4.435
30.803,-4.435
30.853,-4.435
30.902,-3.785
30.949,-4.345
30.998,-4.385
31.048,-4.26
31.097,-4.755
31.15,-4.965
31.206,-4.645
31.259,-4.735
31.312,-5.02
31.368,-4.71
31.421,-4.455
31.473,-4.535
31.524,-4.45
31.576,-4.935
31.629,-4.46
31.683,-5.18
31.738,-4.595
31.79,-3.75
31.838,-4.15
31.886,-4.44
31.936,-4.25
31.984,-3.535
32.03,-4.06
32.077,-3.45
32.12,-4.2
32.169,-4.32
32.219,-4.155
32.268,-4.405
32.318,-4.1
32.367,-4.19
32.415,-3.89
32.464,-4.51
32.513,-3.975
32.561,-4.045
32.61,-4.58
32.663,-4.885
32.717,-4.73
32.772,-4.655
32.826,-4.94
32.881,-4.62
32.934,-4.295
32.986,-4.625
33.038,-4.37
33.089,-4.09
33.138,-4.015
33.186,-3.965
33.233,-3.765
33.28,-4.03
33.327,-3.88
33.374,-3.74
33.42,-4.15
33.469,-4.03
33.518,-4.235
33.567,-4.07
33.616,-4.06
33.664,-3.86
33.713,-4.66
33.764,-4.05
33.815,-4.385
33.866,-4.765
33.921,-4.765
33.976,-4.765
34.031,-4.76
34.086,-4.76
34.142,-4.58
34.195,-4.265
34.246,-4.56
34.299,-4.485
34.352,-4.79
34.407,-4.54
34.46,-4.095
34.51,-4.015
34.559,-4.275
34.61,-3.695
34.656,-4.17
34.705,-3.875
34.753,-3.84
34.801,-4.24
34.85,-3.675
34.897,-3.7
34.944,-4.185
34.993,-4.02
35.042,-3.845
35.089,-3.515
35.134,-3.845
35.182,-4.205
35.232,-3.86
35.279,-3.545
35.325,-3.76
35.372,-4.09
35.421,-4.12
35.471,-4.03
35.519,-3.405
35.566,-4.26
35.616,-4.335
35.667,-3.905
35.715,-3.805
35.763,-3.945
35.811,-4.34
35.863,-4.09
35.913,-4.62
35.968,-3.985
36.017,-4.01
36.066,-4.04
36.116,-4.025
36.166,-4.535
36.219,-4.345
36.271,-4.27
36.323,-4.16
36.373,-3.92
36.422,-3.92
36.471,-4.045
36.521,-4.1
36.571,-4.025
36.62,-3.885
36.669,-4.22
36.72,-4.04
36.77,-3.975
36.82,-4.33
36.872,-4.42
36.924,-4.27
36.976,-4.085
37.026,-3.5
37.072,-3.315
37.116,-3.955
